,Product Name,Price,Quantity,Discount,Prize badge,Product Link,Product pid
1772,Burmester Vinho do Porto Vintage 2017,41.90,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/burmester-vinho-do-porto-vintage-2017-burmester-7454327.html,7454327
1773,Escondido Regional Lisboa Vinho Branco,75.00,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/escondido-regional-lisboa-vinho-branco-escondido-7364164.html,7364164
1774,Taylor's Vargellas Vinhas Velhas Vinho do Porto Vintage 2017,352.00,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/taylors-vargellas-vinhas-velhas-vinho-do-porto-vintage-2017-taylors-7695215.html,7695215
1775,Quinta da Lapa Fernão Pires Tejo Vinho Branco,11.39,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/quinta-da-lapa-fernao-pires-tejo-vinho-branco-quinta-da-lapa-7769503.html,7769503
1776,Barão de Vilar Monuments Edition White Porto,7.59,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/barao-de-vilar-monuments-edition-white-porto-barao-de-vilar-7769236.html,7769236
1777,Palácio dos Távoras Golden Edition Trás-os-Montes Vinho Tinto,98.00,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/palacio-dos-tavoras-golden-edition-tras-os-montes-vinho-tinto-palacio-dos-tavoras-7695767.html,7695767
1778,Astronauta Vinho Moscatel Galego Branco Douro,7.99,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/astronauta-vinho-moscatel-galego-branco-douro-astronauta-7770537.html,7770537
1779,Little Odisseia Douro Vinho Branco,6.79,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/little-odisseia-douro-vinho-branco-little-odisseia-7770597.html,7770597
1780,Real Companhia Velha Vinho do Porto Vintage 2017,76.00,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/real-companhia-velha-vinho-do-porto-vintage-2017-real-companhia-velha-7454366.html,7454366
1781,Herdade Aldeia de Cima Reserva Regional Alentejano Vinho Tinto,16.69,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/herdade-aldeia-de-cima-reserva-regional-alentejano-vinho-tinto-vale-daldeia-7454438.html,7454438
